1: adam	A:  No, like my Adam. Like ADAM-Adam.
45: date	"It's just that ... if this isn't a DATE-date, and it feels like one to me, then I thought I ought to tell you.
46: date	Martin:   Uh, you know, I think there's been a bit of a misunderstanding here. I didn't mean this to be a DATE-date, more of a friendship thing. You know, I really enjoy your company...
47: date	Jack:   He's not my DATE-date. We're just going as friends. He calls it taking it to the next step towards self-acceptance and actualization. Whatever the hell that means.
48: date	Lucy:   A DATE-date? I'm jealous. I've never been on one.
49: date	Philip:   Oh, come on, chloe. I know we're a long way from all of that. Look, I just want to take you out, okay? Just hang out with you some night. Okay, it doesn't have to be at night. It doesn't have to be a DATE-date. We could just hang out some afternoon -- no big deal.
50: date	Jennifer:   No, I know. The last time, you were rescuing me, but this would be, like, a DATE-date.
51: dead	B:   You mean, like DEAD-dead?
52: dead	In those moments when you're not sure the undead are really DEAD-dead, don't get all stingy with your bullets. I mean, one more clean shot to the head, and this lady could have avoided becoming a human Happy Meal.
53: dead	In case I haven't been clear, I'm un-dead, not DEAD-dead. All those biological urges still apply.
54: dead	What's the difference between brain-dead and DEAD-dead?
55: dead	You're not dead, are you? I mean, you're dead, but you're not DEAD-dead, because you're still here, aren't you?
56: dead	Vernon:   You mean DEAD-dead?
57: decided	That could be great. I mean, I haven't DECIDED-decided, but that could be great.
58: die	Dickie:   Wait. She DIE-dies? I thought this was a happy movie.
59: dinner	Hannah:   DINNER-dinner?
60: dive	Although Luke did this awesome dive off the high board, which wasn't really a DIVE-dive, it was more like Will Farrell falling out of a plane.
61: doctor	Neighbour:  A DOCTOR-doctor, or a you kind of doctor?
62: dog	Take Charley, for example. He has always associated with the learned, the gentle, the literate, and the reasonable both in France and in America. And Charley is no more like a DOG-dog than he is like a cat. His perceptions are sharp and delicate and he is a mind-reader. I don't know that he can read the thoughts of other dogs, but he can read mine.
63: doll	His girlfriend's a doll. Not like you're a doll. She's a DOLL-doll, like life-sized and plastic.
64: done	Bart:   DONE-done.
65: door	I don't mean my DOOR-door. I mean my metaphorical door. As in "door to my heart", "door to the community"...
66: drink	Would you like some wine? Would you like a DRINK-drink?
67: drink	Do you want coffee or a DRINK-drink?
68: drink	Harold:   Oh, a DRINK-drink.
69: drink	Harold:   It was a DRINK-drink.
70: dying	Joan:   You mean, like, DYING-dying?
71: economist	Larry Summers is not just an economist but, as one of his critics put it, an ECONOMIST-economist.
72: egg	B:  I've had eggs in, like, cakes. Never had an EGG-egg. I was a very wilful child.
73: end	We sat there, day and night, trading places, Beth and I, with Toph downstairs usually, Beth and I sitting, sleeping there, sometimes draped over her, waiting for the near-end, so we could gather and then wait for the END-end.
74: enjoy	Robert:  We have a wonderful bed. I think you'll enjoy it. Not ENJOY-enjoy. Sleep. Enjoyable sleep.
75: escort	I don't mean ESCORT-escort.
76: evil	Angel:   Well, it was an evil thing in terms of that world. It just wasn't an EVIL-evil thing.
77: evil	Never trust an EVIL-evil thing.
78: familiar	Kissinger:   That's OK. I'm familiar with these young ladies. Well, I'm not FAMILIAR-familiar... I know them.
79: fans	There's a guy who collects fans. These are not sports fans but FANS-fans
80: favorite	Will:   My FAVORITE-favorite?
81: favorite	Barbara:   FAVORITE-favorite.
82: feelings	Baze:  Like, FEELINGS-feelings. You know, like ~ like the kind people feel.
83: fight	Elaine:   You mean in a real FIGHT-fight?
84: final	The FINAL-final copy has to be done by August.
85: fireplace	We have a FIREPLACE-fireplace in the living room.
86: flute	You lost me a bit with the pan-flute. ... I guess it was a FLUTE-flute.
87: food	B:   Sure, they've got chocolate over there but not real FOOD-food.
88: free	... and we'll be free. Well, not FREE-free, but free in cyberspace, even though we're locked up here.
89: french	Is he French or FRENCH-French?
90: french	Police officer:   FRENCH-French?
91: french	Suspect:   FRENCH-French. From Belgium, originally.
92: friend	So by "friend" do you mean FRIEND-friend, gay friend, or "ex-boyfriend who you're Platonic with but still might have a thing for you" friend?
93: friend	B:   Hmm. A FRIEND-friend friend or a FRIEND-friend?
94: friend	Julie:   Because I had boyfriends. Lots of them in high school. But for reasons too complicated and too big for this subway car, I, um, didn't have a lot of FRIEND-friends. Girlfriends.
95: friends	So I would say that the president and Mr. DeLay are friends, but not FRIENDS-friends, if you will.
96: friends	Bianca:   No, FRIENDS-friends -- real friends. That's -- that's huge. Maggie, it's better this way.
97: funny	And he's funny. FUNNY-funny, not jokey-funny.
98: funny	Lorelai:  He is funny, but I don't mean FUNNY-funny. I'm being philosophical.
99: garth	B:   Wow, Garth. Was that GARTH-Garth, or Chris Garth?
100: gay	B:   Is that happy-gay or GAY-gay?
101: geeky	Chas:   There's cool-geeky and there's GEEKY-geeky. I'm only ever going to be GEEKY-geeky.
102: girl	A:  No, I mean GIRL-girls
103: girl	Lana:   What were you like before all this? Were you like me? Like a GIRL-girl?
104: glove	... and here are the GLOVE-gloves.
105: go	B:   Well, not like GO-go. I mean, not like for real. It's just everyone already has a date.
106: god	C:  Uh, yeah. I'm more of a GOD-God worshipper.
107: god	B:   Not as in GOD-God. Ra played a god, the sun god.
108: going	Dr. Brown:   He's not influencing anything. I'm not even really going. I mean, I'm going but I'm not GOING-going.
109: go	Nina:   GO-go, or just GO-go?
110: gone	You think they're gone? Like GONE-gone?
111: good	Craig:   GOOD-good or bad good?
112: green-tea	... GREEN-TEA-green-tea...
113: guitar	Donna:  Really? All right! Wait, you mean your GUITAR-guitar, right?
114: gun	Gas guns? Why not GUN-guns? Our enemies have GUN-guns.
115: gun	Maybe with a trank-gun, but not a GUN-gun. I hate GUN-guns.
116: guy	"I'm definitely reclaiming the feminine aspect of masculinity," [Gregory] Scratch explained. But he's also clearly equally keen to juice up the feminine cliches of domesticity with a jolt of testosterone. Those seductively macho paint jobs aren't meant purely as irony: "I'm probably as GUY-guy as a guy gets....I've got sideburns and I love muscle cars."
117: guy	Robin:   Those GUY-guys, y'know? Those guys with skills?
118: guys	Shelagh Rogers:   GUYS-guys.
119: guys	Marah:   Well, they're not like GUYS-guys. They're more like brothers.
120: handle	Xander:   Uh, no worries. I can handle the Oz Full Monty. I mean, not HANDLE-handle, like "hands to flesh" handle.
121: happened	Hey, it hasn't happened, has it? It has will-have-going-to-have-happened happened. But it hasn't actually HAPPENED-happened yet... actually.
122: hardest	Slim:  You know Finnegans Wake by James Joyce? My friend told me it's the hardest book in the English language. I mean, not the HARDEST-hardest, but the hardest one that you can actually read. I thought to myself, if I can get through it, I could probably read the rest.
123: hat	Should I wear a HAT-hat?
124: help	Reverend Book:  I wish I could help. I mean, I don't wanna help -- not HELP-help, but -- not with the theiving, but -- I do feel awfully useless.
125: here	A:  I know, but is she HERE-here?
126: here	Is he HERE-here or elsewhere-here?
127: high	B:  It's not HIGH-high, but it ticked up slightly, and he does have a family history.
128: highway	It is part of the HIGHWAY-highway, not the information highway.
129: hint	Michael:   It's funny. It's not a HINT-hint, but he has been calling me "pardner".
130: history	Is it biblical history or HISTORY-history?
131: hive	Lucy: Wait, like HIVE-hives?
132: home	Daughter:  No. I'm going HOME-home. Dad's place. Happy now?
133: home	... things have got so bad that I decide to go home... HOME-home, Mum and Dad home, congealing gravy and Songs of Praise home.
134: home	Lorelai:  No, I mean a HOME-home. A memory home. The inn is where Rory took her first step. It's where I took my first step. It's more of a home to me more than my parents' house ever was.
135: home	Cassie:   I know that, for an ambassador's residence, but not for a HOME-home. I just really want a home, Richard. I want to be able to walk around in my bathrobe and not have to worry about it. I want the kids to be able to leave their toys all over the place, not worrying about some prime minister slipping on it.
136: home	Livvie:   Why not? I mean, I only lived here a few years. It's not my HOME-home, and it's not really your home, either.
137: hot	You like it HOT-hot, eh? You like it really hot?
138: house	This isn't actually my HOUSE-house. It's one of the model homes in my old man's cheesy new subdivision.
139: hustle	I don't know. But I'm telling ~ Like, HUSTLE-hustle.
140: indian	Doug rounded on him. "Sejal's INDIAN-Indian, Kyle. You were born in Scranton."
141: instant	Tim:   It's not like INSTANT-instant.
142: intense	A:  INTENSE-intense.
143: interested	GT:   Not INTERESTED-interested, like I'm interested in pursuing something interesting, but... It was fun being in your company again, and.. Ally figured I was setting the two of you up for my own...
144: invisible	B:   Not INVISIBLE-invisible. Just invisible to them.
145: jealous	Caroline:   Look, when I saw Julia and Richard together, I was jealous. Not jealous like "Hey, they could be a couple and I'm not seeing anyone" jealous, but JEALOUS-jealous, you know what I mean?
146: jealous	Del:   Yeah, JEALOUS-jealous.
147: job	Desiree:  Get a JOB-job, God damn it.
148: job	I had a JOB-job once.
149: kid	Father:   Not KID-kids, men-kids.
150: kids	In many of these situations, you're not just dealing with KIDS-kids, you're dealing with adult kids.
151: kilt	Uh, Avalon, when you said kilt, I didn't think you actually meant a KILT-kilt. I don't know what I was thinking.
152: kiss	B:   A KISS-kiss?
153: know	Rory:   Well, I mean, I didn't KNOW-know.
154: kong-chi	Kenny:   You know, KONG-CHI-kong-chi. It's an ancient oriental artform of loosening up.
155: language	B::  No, her LANGUAGE-language is telling her she's innocent.
156: late	Burt:  You mean, LATE-late? Like LATE-late?
157: late	A:   No, I mean LATE-late!
158: late	Grace:   No. Eat without me. I'm gonna be LATE-late.
159: late	Will:   LATE-late? Why, why, why, why, why?
160: leak	Joey:   The LEAK-leak!
161: leave	Man:  No. When you LEAVE-leave. You know, when they take you.
162: leave	Claire:  Pretend leave or LEAVE-leave?
163: leave	Pretend-leave or LEAVE-leave?
164: leaving	Are you LEAVING-leaving?
165: leaving	Lisa:   No. No. I'm not LEAVING-leaving.
166: leaving	Ryan:   So, like, you're LEAVING-leaving? Leaving town?
167: letter	I've actually thought about doing more LETTER-letter writing.
168: letter	Jane:   Yeah. Like the ones you write to your girlfriends. But just a LETTER-letter, not a love-letter.
169: listen	Todd:   All right, you listen to me now, and you listen -- like LISTEN-listen, OK? You don't redesign anything. So whatever you did, you put it back the way it was. You got that?
170: logic	Narrator:   Now, most people don't know this but there are two kinds of logic. There's LOGIC-logic and then there's 12-year-old-in-love logic.
171: long	B:   Not LONG-long hair.
172: lose	Wilson:   You didn't... LOSE-lose.
173: loser	Lucas::   'Cause I was a loser. I mean, not like a LOSER-loser, you know, but I was definitely the most popular of the unpopular.
174: love	Dr. Joyce (on the TV):   Well, there are two kinds of love, Jerry. There's wellness love, which is good love, healthy love, LOVE-love.
175: madness	MADNESS-madness. [picture of man screaming "I am the Mouse from Planet X."]
176: madonna	Dylan:   Don't think virgin Madonna, think MADONNA-Madonna.
177: marcus	They just call him psycho-Marcus because they're trying to distinguish between him and MARCUS-Marcus and normal-Marcus.
178: mark	B:  MARK-Mark?
179: marriage	I don't know. I... I guess I just never gave that much thought to MARRIAGE-marriage.
180: married	Harlin:   Oh! Is she married like I'm married, or is she MARRIED-married?
181: medium	Roz:   Hold on, Frasier. Cashmere for under 40 bucks? I'll take one in black. In medium. Wait, is that MEDIUM-medium or unrealistic-anorexic-model-medium?
182: money	He needs MONEY-money?
183: mother	I considered my mother's stepmother a relative. I never knew my mother's MOTHER-mother.
184: mother	Mrs. Garrett, Blair's housemother -- Mrs. Warner, Blair's MOTHER-mother.
185: move	Sami:   No, I mean MOVE-move. I mean move out of Salem.
186: movie	Kid 2:  A MOVIE-movie?
187: movie	During this pre-Christmas cinematic bang, when the multiplexes are bursting with animated fairy tales, event movies and bookish adaptations, you might find yourself with a craving for a real MOVIE-movie.
188: movie	It must be admitted that, for a MOVIE-movie, Infernal Affairs is subversively arty.
189: murray	A:   MURRAY-Murray!?
190: nervous	B:   Yeah, but, you know, not NERVOUS-nervous.
191: next	Kevin:   And it's weird, because I realized I was next. I mean, it's like I knew already. Well, I wasn't NEXT-next. That would be...
192: novel	Michael Enright:   Now, a true life novel. How is that different from a NOVEL-novel.
193: now	A:  Hey, NOW-now, man.
194: nuts	Caroline:   I know, but I didn't think you meant NUTS-nuts. I thought you meant raisin nipple nuts. Oh my god, I mean, she was just so convincing! I feel like a fool!
195: okay	B:   OKAY-okay, or "faking it through the worst heartbreak of my life" okay?
196: older	I think she's OLDER-older.
197: orange	She was wearing an orange shirt. But she was blind, so I don't think she knew that it was ORANGE-orange.
198: out	B:  Yeah? You're OUT-out? [i.e., legally released from the mental institution]
199: out	Do you feel, like, excited, Ange, today? Or because you're going to college, it doesn't feel like you're really OUT-out?
200: out	She's like gonna go OUT-out tonight.
201: over	'Cause you're not ready to let him [your ex-boyfriend] go. I think you know deep down, once you get your stuff back, you know, it's OVER-over.
202: over	Angie:   Is it OVER-over, like the time he got you a football for your birthday, or just over, like the time he thought your goldfish needed air?
203: over	Brittany:   No, this time it's really OVER-over. And as fellow cheerleaders, you have to swear on a stack of pompoms not to go to the dance with that two-timing, scum of the earth, Kevin.
204: pain	To some, pain implies growth. But how do we know when the growing pains stop and the PAIN-pains take over?
205: paper	I want PAPER-paper, the-kind-you-can-write-on paper.
206: party	Kenzie, this isn't a PARTY-party.
207: party	Well, it's not for you. It's a PARTY-party.
208: party	Elena:   Not a PARTY-party. Just hanging out. We'll get a few people in here to help get rid of this ugly wallpaper.
209: party	Kristen:   Honey, that's really sweet. But it's not really a PARTY-party. It's more of a small family get-together. So I think your friend might feel a little uncomfortable.
210: penny arcade	The Hollywood Reporter reports some pretty big news — there’s gonna be a movie based on a Penny Arcade comic. Not PENNY ARCADE-Penny Arcade ... but the New Kid spin-off they did not too long ago.
211: people	Tim:   D'you mean a lot of PEOPLE-people, or a lot of women-people?
212: personal	A:  No, I mean like PERSONAL-personal.
213: pin	No, I need a PIN-pin.
214: play	B:  If you're playing, it's like for PLAY-play. You know you ain't getting paid, right?
215: poker	Pacey:   Originally this was just POKER-poker, until I started kicking his ass. Then your friendly neighborhood co-worker decides to change the stakes on me, but I'm finished now, and, uh, we can just leave?
216: prison	What if they fail the test? Do they go to PRISON-prison?
217: problem	A:  Problem. PROBLEM-problem.
218: problem	B:  That is a PROBLEM-problem.
219: problem	He doesn't mean PROBLEM-problems.
220: prof	We had a guest prof, and a guy in the class was opening an e-mail attachment that cranked the volume up, and there's a sound attachment that yells out "Hey everyone, I'm looking at porno!" and the PROF-prof was just shaking his head in shame.
221: promise	Michael:   I PROMISE-promise.
222: rape	Rape? Raping you? Your father's brother RAPE-raped you?
223: really	I talk about it in the book, but I don't tell what REALLY-really happened.
224: red	A:   RED-red or tongue red?
225: regular	Employee:   REGULAR-regular?
226: relationship	I could never be with a guy in a RELATIONSHIP-relationship.
227: relationships	Shelagh Rogers:   Do you mean RELATIONSHIPS-relationships or just relationships?
228: retarded	Carolyn:  RETARDED-retarded.
229: rich	They are rich, of course; obscenely rich by the world's standards; but not RICH-rich, not New York City rich.
230: rich	You know what it's like, working with the rich all these years, not being rich ourselves - not RICH-rich.
231: rob	Jane:  It's supposed to be intense. If someone breaks into your house, they are not going to jazz-rob you. They're gonna to ROB-rob you or MURDER-murder you. Okay, I am doing this for your own good.
232: robbed	Actor:  Robbed? Like, ROBBED-robbed?
233: roz	Daphne:   Roz? You mean ROZ-Roz?
234: rush	Customer:  It's not a RUSH-rush.
235: salad	I'll make the tuna salad and you make the SALAD-salad.
236: seeing	Willow:   I mean ... not SEEING-seeing. Well, maybe. I don't know, it was inconclusive, and I didn't stick around to find out. Might have magicked my fist through a wall or something.
237: serious	Felicity:   No! I mean, not SERIOUS-serious.
238: shock	A:  No, SHOCK-shock. Real shock.
239: sick	I'm not SICK-sick. It's just that I had surgery two weeks ago.
240: slave	A:   Oh no, that was SLAVE-slaveing. This is wage-slaving.
241: smart	Brittany:   Oh, Kevvy, I only kissed Robert to get even with you for kissing Zoe, it didn't mean anything, and now I know you do love me and you really mean it when you say smart doesn't matter, although I think I'm smarter than you think I am, although I know I'm not smarter than the really SMART-smart people, so I forgive you! Kevvy? Kevvy?
242: sorry	Dylan:   You're sorry or you're SORRY-sorry?
243: sorry	Jez:   I'm SORRY-sorry.
244: special	A special relationship or a SPECIAL-special relationship.
245: split	Scott:   As in get out of here, or as in SPLIT-split?
246: steal	Rayaan:   I didn't STEAL-steal it. I just didn't pay.
247: steve	B:  You know, STEVE-Steve. Fiona's new Steve.
248: strip	Jim:  You mean like, STRIP-strip?
249: stuff	Lorelai:   No, STUFF-stuff.
250: surf	I like wind-surfing not SURF-surfing.
251: surprising	Interviewee:   Well, not SURPRISING-surprising.
252: talk	But just because a scripture says God's talking doesn't mean he's TALK-talking. People tend to take license with that detail. It's not always gonna be, "Hello, Jaye."
253: talk	In fact I barely talked to him. Not TALK-talked.
254: temple	Not in the TEMPLE-temple, but in a building next door to the temple, but still on temple grounds.
255: there	And it's there. Not just out there, but THERE-there.
256: thing	"A THING-thing."
257: thing	"A THING-thing? You mean, really?"
258: thing	"Okay, it was. It was definitely a THING-thing."
259: thing	"Kanga had a THING-thing/kissing thing with Finn Murphy yesterday afternoon and we're only hearing about it now?" Cricket sounded outraged.
260: thing	"That's no excuse. You could have e-mailed us, at least," said Cricket. "You are shockingly out of line, young lady. THING-things with stud-muffins that no one else knows about? What is the world coming to?"
261: thing	"Wait!" I held up my hand. "It's only a real and true THING-thing if the kissing was good."
262: thinking	B:  Like THINKING-thinking? That wasn't premeditated, I wasn't lying in wait. More like I was musing on the idea. Not, you know, dwelling. There were times I did dwell on you, about you, a little. But I wasn't seriously considering till the exact moment I did it. Or didn't do it.
263: together	Yeah, 'cause they're all together. Like, TOGETHER-together. Um, the blonde girl, that's Rosalie, and the big dark-haired guy, Emmett, they're, like, a thing. I'm not even sure that's legal.
264: together	Julie:   We're not...we're not TOGETHER-together. We're just...we're hanging out. A lot.
265: together	Becky:   Supposedly, Susan thought she saw John and Gina together, you know, like together. But they weren't TOGETHER-together, they were just studying together. But Susan might break up anyway.
266: together	Not TOGETHER-together. Just "get the potion" together.
267: together	Nick:   TOGETHER-together?
268: together	Chloe:   It's not like Philip and I are TOGETHER-together, it's -- we're just hanging out, seeing how things go.
269: together	Blair:   I know that you guys aren't TOGETHER-together, but when I walked in here just now, it's obvious that you still care about him. I'm right to say that? I mean, you do still care about Sam, right?
270: tonight	B:  Oh! Okay, tonight. TONIGHT-tonight?
271: tonight's	Chair:   No, TONIGHT'S-tonight's minutes.
272: top	Joey:   The TOP-top?
273: tre	B:   Which Tre? TRE-Tre?
274: truth	Jen:   OK, the TRUTH-truth, or the what-Dawson-wants-to-hear truth?
275: truth	Rosanna:   TRUTH-truth, or convenient-in-the-moment truth?
276: tub	So what are you looking for? A Jacuzzi-type thing? Or a TUB-tub?
277: ugly	B:   Marianne-of-Gilligan's-Island ugly, not Cornelius-of-Planet-of-the-Apes ugly. TV ugly, not UGLY-ugly.
278: van	Look at all the yellow vans on the road. Not vans like ours [i.e., minivans], but VAN-vans.
279: war	Henry Blake:  Look, folks. You've picked a very busy spot. The war comes through here. Well, not war in your war-fighting sense, but rather in your aftermath sense, which is still WAR-war.
280: white	Dressmaker:   Here's the skinny. We dressmakers have a very strict code, so I need to know, do you deserve to wear virginal white? Because if you don't, you'll have to wear an off-white, what we call a hussy white. So which will it be, WHITE-white?
281: wife	She's a WIFE-wife.
282: woody	Oh, WOODY-Woody. Oh well, listeners, this is an old friend of mine from back in Boston. Well, how you doin' there, you old cowpoke?
283: work	Wednesday is my WORK-work day.
284: work	Paige:   Well, between witch work and WORK-work, I just don't have any time any more.
285: work	Marina:   No, I mean, I don't mind, like, giving you a hand if you need one. I mean, it could be different from the whole punishment thing. You know, like actual WORK-work.
286: wrong	Grams:   Oh, well, I--I don't mean WRONG-wrong, it's just that we've always had... girls.
